Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
325,0.9127,0.9133,0.9859,0.9750,0.8481,0.1578,0.2902
326,0.9128,0.9134,0.9859,0.9750,0.8481,0.1576,0.2900
327,0.9129,0.9134,0.9859,0.9750,0.8481,0.1575,0.2898
328,0.9130,0.9135,0.9859,0.9750,0.8482,0.1574,0.2896
329,0.9131,0.9135,0.9859,0.9750,0.8482,0.1573,0.2895
330,0.9132,0.9135,0.9859,0.9750,0.8483,0.1571,0.2893
331,0.9133,0.9135,0.9859,0.9750,0.8483,0.1570,0.2891
332,0.9134,0.9136,0.9859,0.9750,0.8483,0.1569,0.2890
333,0.9135,0.9136,0.9859,0.9750,0.8484,0.1568,0.2888
334,0.9136,0.9136,0.9859,0.9750,0.8484,0.1566,0.2887
335,0.9137,0.9137,0.9859,0.9750,0.8484,0.1565,0.2885
336,0.9138,0.9137,0.9859,0.9750,0.8485,0.1564,0.2883
337,0.9139,0.9137,0.9859,0.9750,0.8485,0.1563,0.2882
338,0.9140,0.9138,0.9859,0.9750,0.8485,0.1561,0.2880
339,0.9141,0.9138,0.9859,0.9750,0.8486,0.1560,0.2879
340,0.9142,0.9138,0.9859,0.9750,0.8486,0.1559,0.2877
341,0.9143,0.9139,0.9859,0.9750,0.8486,0.1558,0.2875
342,0.9144,0.9139,0.9859,0.9750,0.8487,0.1557,0.2874
343,0.9145,0.9139,0.9859,0.9750,0.8487,0.1555,0.2872
344,0.9146,0.9139,0.9859,0.9750,0.8487,0.1554,0.2871
345,0.9147,0.9140,0.9859,0.9750,0.8488,0.1553,0.2869
346,0.9148,0.9140,0.9875,0.9750,0.8488,0.1552,0.2868
347,0.9149,0.9140,0.9875,0.9750,0.8488,0.1551,0.2866
348,0.9150,0.9141,0.9875,0.9750,0.8489,0.1550,0.2865
349,0.9151,0.9141,0.9875,0.9750,0.8489,0.1549,0.2863
350,0.9152,0.9141,0.9875,0.9750,0.8490,0.1547,0.2862
351,0.9153,0.9141,0.9875,0.9750,0.8490,0.1546,0.2860
352,0.9154,0.9142,0.9875,0.9750,0.8490,0.1545,0.2859
353,0.9155,0.9142,0.9875,0.9750,0.8491,0.1544,0.2857
354,0.9156,0.9142,0.9875,0.9750,0.8491,0.1543,0.2856
355,0.9157,0.9142,0.9875,0.9750,0.8491,0.1542,0.2854
356,0.9157,0.9143,0.9875,0.9750,0.8492,0.1541,0.2853
357,0.9158,0.9143,0.9875,0.9750,0.8492,0.1540,0.2852
358,0.9159,0.9143,0.9875,0.9750,0.8493,0.1539,0.2850
359,0.9160,0.9143,0.9875,0.9750,0.8493,0.1538,0.2849
360,0.9161,0.9144,0.9875,0.9750,0.8493,0.1537,0.2847
361,0.9162,0.9144,0.9859,0.9750,0.8494,0.1536,0.2846
362,0.9163,0.9144,0.9859,0.9750,0.8494,0.1534,0.2845
363,0.9164,0.9144,0.9859,0.9750,0.8494,0.1533,0.2843
364,0.9165,0.9145,0.9859,0.9750,0.8495,0.1532,0.2842
365,0.9165,0.9145,0.9859,0.9750,0.8495,0.1531,0.2840
366,0.9166,0.9145,0.9875,0.9750,0.8495,0.1530,0.2839
367,0.9167,0.9145,0.9875,0.9750,0.8496,0.1529,0.2838
